x	 y	 BMU	 BMV	 T11	 T12	 T22
0.048202	0.000409	1.313471	0.012032	0.008826	0.000103	0.001287
0.048611	0.000409	1.315268	0.011775	0.008946	0.000113	0.001224
0.049020	0.000409	1.317119	0.011494	0.009085	0.000123	0.001158
0.049429	0.000409	1.319037	0.011189	0.009244	0.000134	0.001094
0.049838	0.000409	1.321036	0.010857	0.009425	0.000145	0.001031
0.050247	0.000409	1.323129	0.010500	0.009629	0.000157	0.000974
0.050656	0.000409	1.325317	0.010115	0.009854	0.000168	0.000922
0.051065	0.000409	1.327592	0.009706	0.010095	0.000179	0.000877
0.051474	0.000409	1.329939	0.009271	0.010346	0.000189	0.000839
0.051883	0.000409	1.332327	0.008815	0.010598	0.000199	0.000807
0.052292	0.000409	1.334715	0.008341	0.010844	0.000207	0.000782
0.052701	0.000409	1.337055	0.007850	0.011076	0.000214	0.000762
0.053111	0.000409	1.339294	0.007348	0.011288	0.000219	0.000750
0.053520	0.000409	1.341382	0.006836	0.011466	0.000224	0.000743
0.053929	0.000409	1.343272	0.006318	0.011598	0.000228	0.000738
0.054338	0.000409	1.344919	0.005796	0.011673	0.000233	0.000736
0.054747	0.000409	1.346290	0.005273	0.011681	0.000240	0.000736
