x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	1.705562	0.014881	0.026687	0.012463	-0.000133
0.048202	0.000818	1.859797	0.012525	0.017751	0.007799	-0.000099
0.048202	0.001227	2.031201	0.010561	0.010206	0.004220	-0.000055
0.048202	0.001636	2.204416	0.009185	0.005532	0.002287	-0.000019
0.048202	0.002045	2.363869	0.008442	0.003123	0.001451	0.000005
0.048202	0.002454	2.497773	0.008214	0.002094	0.001165	0.000016
0.048202	0.002864	2.600478	0.008324	0.001726	0.001085	0.000018
0.048202	0.003273	2.672534	0.008541	0.001604	0.001057	0.000016
0.048202	0.003682	2.716618	0.008963	0.001548	0.001033	0.000015
0.048202	0.004091	2.738443	0.009135	0.001507	0.001010	0.000015
0.048202	0.004500	2.747585	0.009135	0.001473	0.000988	0.000019
0.048202	0.004909	2.750373	0.008976	0.001443	0.000966	0.000026
0.048202	0.005318	2.750588	0.008713	0.001416	0.000943	0.000035
0.048202	0.005727	2.749992	0.008390	0.001391	0.000919	0.000045
0.048202	0.006136	2.749184	0.007950	0.001368	0.000899	0.000054
0.048202	0.006545	2.748288	0.007400	0.001351	0.000884	0.000060
0.048202	0.006954	2.747332	0.006741	0.001343	0.000874	0.000063
0.048202	0.007363	2.746264	0.005985	0.001342	0.000866	0.000061
0.048202	0.007772	2.745061	0.005145	0.001343	0.000859	0.000057
0.048202	0.008181	2.743719	0.004225	0.001341	0.000852	0.000054
0.048202	0.008591	2.742219	0.003294	0.001337	0.000845	0.000052
0.048202	0.009000	2.740629	0.002286	0.001332	0.000840	0.000051
0.048202	0.009409	2.739002	0.001202	0.001330	0.000839	0.000049
0.048202	0.009818	2.737357	0.000043	0.001328	0.000844	0.000044
0.048202	0.010227	2.735686	-0.001219	0.001324	0.000853	0.000037
0.048202	0.010636	2.734006	-0.002609	0.001317	0.000862	0.000030
0.048202	0.011045	2.732303	-0.004141	0.001308	0.000868	0.000024
0.048202	0.011454	2.730569	-0.005802	0.001299	0.000870	0.000019
0.048202	0.011863	2.728801	-0.007593	0.001292	0.000870	0.000018
0.048202	0.012272	2.726969	-0.009457	0.001285	0.000870	0.000018
0.048202	0.012681	2.725107	-0.011401	0.001280	0.000876	0.000018
0.048202	0.013090	2.723262	-0.013404	0.001278	0.000887	0.000017
0.048202	0.013499	2.721509	-0.015439	0.001278	0.000905	0.000017
0.048202	0.013908	2.719865	-0.017530	0.001283	0.000927	0.000018
0.048202	0.014318	2.718360	-0.019654	0.001292	0.000949	0.000021
0.048202	0.014727	2.717030	-0.021823	0.001306	0.000969	0.000023
0.048202	0.015136	2.715915	-0.024019	0.001320	0.000986	0.000024
0.048202	0.015545	2.714981	-0.026241	0.001331	0.000998	0.000022
0.048202	0.015954	2.714210	-0.028485	0.001336	0.001007	0.000020
0.048202	0.016363	2.713578	-0.030752	0.001336	0.001014	0.000019
0.048202	0.016772	2.713046	-0.033027	0.001335	0.001021	0.000020
0.048202	0.017181	2.712629	-0.035298	0.001333	0.001029	0.000023
0.048202	0.017590	2.712309	-0.037607	0.001331	0.001039	0.000026
0.048202	0.017999	2.712063	-0.039964	0.001331	0.001054	0.000027
0.048202	0.018408	2.711862	-0.042407	0.001334	0.001075	0.000027
0.048202	0.018817	2.711651	-0.044964	0.001341	0.001098	0.000028
0.048202	0.019226	2.711396	-0.047619	0.001351	0.001120	0.000032
0.048202	0.019635	2.711068	-0.050381	0.001361	0.001138	0.000038
0.048611	0.000409	1.701008	0.009907	0.025412	0.011631	-0.000057
0.048611	0.000818	1.856147	0.008705	0.016901	0.007278	-0.000052
0.048611	0.001227	2.028481	0.007828	0.009715	0.003942	-0.000033
0.048611	0.001636	2.202578	0.007370	0.005264	0.002145	-0.000010
0.048611	0.002045	2.362800	0.007322	0.002972	0.001370	0.000007
0.048611	0.002454	2.497331	0.007568	0.001995	0.001108	0.000016
0.048611	0.002864	2.600519	0.007968	0.001647	0.001034	0.000019
0.048611	0.003273	2.672930	0.008349	0.001533	0.001009	0.000018
0.048611	0.003682	2.717226	0.008776	0.001480	0.000985	0.000017
0.048611	0.004091	2.739204	0.008943	0.001442	0.000965	0.000017
0.048611	0.004500	2.748465	0.008927	0.001411	0.000944	0.000020
0.048611	0.004909	2.751344	0.008747	0.001383	0.000924	0.000026
0.048611	0.005318	2.751638	0.008464	0.001358	0.000901	0.000035
0.048611	0.005727	2.751107	0.008111	0.001335	0.000879	0.000044
0.048611	0.006136	2.750351	0.007646	0.001314	0.000860	0.000052
0.048611	0.006545	2.749510	0.007087	0.001299	0.000845	0.000057
0.048611	0.006954	2.748608	0.006432	0.001290	0.000835	0.000059
0.048611	0.007363	2.747598	0.005692	0.001288	0.000829	0.000057
0.048611	0.007772	2.746455	0.004874	0.001288	0.000822	0.000053
0.048611	0.008181	2.745179	0.003978	0.001285	0.000815	0.000051
0.048611	0.008591	2.743752	0.003057	0.001280	0.000809	0.000049
0.048611	0.009000	2.742235	0.002048	0.001276	0.000804	0.000049
0.048611	0.009409	2.740679	0.000956	0.001274	0.000804	0.000047
0.048611	0.009818	2.739110	-0.000224	0.001272	0.000809	0.000042
0.048611	0.010227	2.737519	-0.001510	0.001269	0.000817	0.000036
0.048611	0.010636	2.735928	-0.002921	0.001264	0.000826	0.000029
0.048611	0.011045	2.734330	-0.004459	0.001256	0.000832	0.000023
0.048611	0.011454	2.732716	-0.006106	0.001248	0.000833	0.000019
0.048611	0.011863	2.731076	-0.007865	0.001241	0.000833	0.000017
0.048611	0.012272	2.729386	-0.009680	0.001234	0.000834	0.000016
0.048611	0.012681	2.727672	-0.011568	0.001231	0.000839	0.000017
0.048611	0.013090	2.725976	-0.013518	0.001229	0.000850	0.000016
0.048611	0.013499	2.724361	-0.015509	0.001229	0.000867	0.000016
0.048611	0.013908	2.722845	-0.017561	0.001234	0.000888	0.000017
0.048611	0.014318	2.721456	-0.019651	0.001243	0.000909	0.000020
0.048611	0.014727	2.720216	-0.021790	0.001255	0.000928	0.000022
0.048611	0.015136	2.719157	-0.023953	0.001269	0.000945	0.000022
0.048611	0.015545	2.718248	-0.026141	0.001279	0.000958	0.000021
0.048611	0.015954	2.717469	-0.028354	0.001284	0.000967	0.000018
0.048611	0.016363	2.716800	-0.030592	0.001285	0.000974	0.000017
0.048611	0.016772	2.716209	-0.032849	0.001286	0.000981	0.000019
0.048611	0.017181	2.715708	-0.035126	0.001285	0.000990	0.000022
0.048611	0.017590	2.715290	-0.037463	0.001283	0.001001	0.000025
0.048611	0.017999	2.714937	-0.039861	0.001284	0.001016	0.000026
0.048611	0.018408	2.714632	-0.042351	0.001287	0.001037	0.000026
0.048611	0.018817	2.714329	-0.044951	0.001294	0.001059	0.000028
0.048611	0.019226	2.713998	-0.047634	0.001304	0.001081	0.000033
0.048611	0.019635	2.713618	-0.050406	0.001314	0.001098	0.000038
0.049020	0.000409	1.696301	0.005945	0.024085	0.010775	0.000013
0.049020	0.000818	1.852334	0.005620	0.016016	0.006742	-0.000009
0.049020	0.001227	2.025595	0.005568	0.009204	0.003657	-0.000012
0.049020	0.001636	2.200576	0.005808	0.004985	0.001999	-0.000002
0.049020	0.002045	2.361580	0.006291	0.002816	0.001288	0.000009
0.049020	0.002454	2.496762	0.006902	0.001893	0.001048	0.000017
0.049020	0.002864	2.600465	0.007531	0.001565	0.000982	0.000020
